Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
2006-0424-AFG,2006,0424,Natural,Hydrological,Flood,Flash flood,,,Kill,Afghanistan,AFG,Southern Asia,Asia,"Kodee Kheel, Mam Kheel villages (Sherzad district, Nangarhar province)",Melting snow and continuous rain,,,,,,,,Km2,,,,,2006,7,30,2006,7,30,12,5,,15,20,,,,78.85225551
2006-0596-AFG,2006,0596,Natural,Hydrological,Flood,Flash flood,,,Kill,Afghanistan,AFG,Southern Asia,Asia,"Ghormach, Balamurghab districts (Badghis province)",Heavy rains,,,,,,812,5000,Km2,35.62,63.54,,Murghab,2006,11,16,2006,11,20,166,5,17575,,17580,,,,78.85225551
2006-0271-AFG,2006,0271,Natural,Hydrological,Flood,Riverine flood,,,Affected,Afghanistan,AFG,Southern Asia,Asia,"Chagcharan, Shahrak districts (Ghor province), Farkhar district (Takhar province), Taloqan city (Taloqan districts, Takhar province)",Heavy rains,,,,,,,21480,Km2,34.52,65.56,,,2006,5,19,2006,5,23,21,150,465,,615,,,,78.85225551
2006-0291-AFG,2006,0291,Natural,Hydrological,Flood,Riverine flood,,,Affected,Afghanistan,AFG,Southern Asia,Asia,"Garziwan, Bilcheragh districts (Faryab province)","Melting snow, sesonal rains",,,,,,,,Km2,,,,,2006,5,,2006,5,,,,1735,,1735,,,,78.85225551
2006-0365-AFG,2006,0365,Natural,Hydrological,Flood,Riverine flood,,,Kill,Afghanistan,AFG,Southern Asia,Asia,"Khost, Nuristan provinces",Heavy rain,,,,,,,,Km2,33.06,69.95,,,2006,7,9,2006,7,13,10,,,,,,,,78.85225551
2006-0416-AFG,2006,0416,Natural,Hydrological,Flood,Riverine flood,,,Kill,Afghanistan,AFG,Southern Asia,Asia,"Sherzad district (Nangarhar province), Spera districts (Khost province), Urgun, Sarrawzah, Omna districts (Paktika province), Jaghuri district (Ghazni province), Surkh-e-Parsa district (Parwan province), Paktya province",Heavy rain,,,,,,,3116,Km2,34.08,69.75,,,2006,7,30,2006,8,9,54,,,8000,8000,,,,78.85225551
2006-0262-BGD,2006,0262,Natural,Hydrological,Flood,Riverine flood,,,Affected,Bangladesh,BGD,Southern Asia,Asia,"Khagrachhari district (Chittagong province), Sylhet province",Monsoonal rain,,,,,,,,Km2,,,,Jamuna and tributaries,2006,5,31,2006,7,24,,,76000,,76000,,,,78.85225551
2006-0502-BGD,2006,0502,Natural,Hydrological,Flood,Riverine flood,,,Affected,Bangladesh,BGD,Southern Asia,Asia,"Jessore, Khulna, Satkhira districts (Khulna province)",Monsoonal rain,,,,,,,28080,Km2,23.23,89.27,,,2006,8,24,2006,9,20,,,135775,,135775,,,,78.85225551
2006-0207-IND,2006,0207,Natural,Hydrological,Flood,Flash flood,,,Kill,India,IND,Southern Asia,Asia,"Adilabad, Hyderabad, Karimnagar, Khammam, Mahbubnagar, Medak, Nalgonda, Nizamabad, Rangareddi, Warangal, Srikakulam, Krishna districts (Andhra Pradesh province)",Heavy rain,,,,,,,190900,Km2,17.43,82.81,,,2006,4,15,2006,4,18,20,,,,,,,,78.85225551
2006-0734-IND,2006,0734,Natural,Hydrological,Flood,Flash flood,,,Kill,India,IND,Southern Asia,Asia,Madhya Pradesh province,,,,,,,,,Km2,,,,,2006,10,1,2006,10,1,39,,,,,,,,78.85225551
